"Indicators","S.No","Parameters","Type","Total Facility","April 11-12","April 12-13","Difference-April 12-13-April 11-12","Total Reported Facility","May 11-12","May 12-13","Difference-May 12-13-May 11-12","Total Reported Facility","June 11-12","June 12-13","Difference-June 12-13-June 11-12","Total Reported Facility","July 11-12","July 12-13","Difference-July 12-13-July 11-12","Total Reported Facility","August 11-12","August 12-13","Difference-August 12-13-August 11-12","Total Reported Facility","September 11-12","September 12-13","Difference-September 12-13-September 11-12","Total Reported Facility","October 11-12","October 12-13","Difference-October 12-13-October 11-12","Total Reported Facility","November 11-12","November 12-13","Difference-November 12-13-November 11-12","Total Reported Facility","December 11-12","December 12-13","Difference-December 12-13-December 11-12","Total Reported Facility","January 11-12","January 12-13","Difference-January 12-13-January 11-12","Total Reported Facility","February 11-12","February 12-13","Difference-February 12-13-February 11-12","Total Reported Facility","March 11-12","March 12-13","Difference-March 12-13-March 11-12","Total Reported Facility","Total 2011-2012","Total 2012-2013"
"M16 [Stock Position (During the month)]","16.3.02","Stock Position of Gloves","1. Balance From Previous Month","154","1224",NA,"-1224","0","1224",NA,"-1224","0",NA,"2200","2200","0","1224",NA,"-1224","0","1224",NA,"-1224","0","1224",NA,"-1224","0","1224",NA,"-1224","0","1224",NA,"-1224","0","1224",NA,"-1224","0","1224",NA,"-1224","0","1224",NA,"-1224","0","1224",NA,"-1224","0","13464","2200"
"M16 [Stock Position (During the month)]","16.3.02","Stock Position of Gloves","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.02","Stock Position of Gloves","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.02","Stock Position of Gloves","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.02","Stock Position of Gloves","5. Total Stock","154","1224","0","-1224","0","1224","0","-1224","0","0","2200","2200","0","1224","0","-1224","0","1224","0","-1224","0","1224","0","-1224","0","1224","0","-1224","0","1224","0","-1224","0","1224","0","-1224","0","1224","0","-1224","0","1224","0","-1224","0","1224","0","-1224","0","13464","2200"
"M16 [Stock Position (During the month)]","16.3.03","Stock Position of MVA Syringes","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.03","Stock Position of MVA Syringes","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.03","Stock Position of MVA Syringes","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.03","Stock Position of MVA Syringes","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.03","Stock Position of MVA Syringes","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M16 [Stock Position (During the month)]","16.3.04","Stock Position of Fluconazole Tablets","1. Balance From Previous Month","154","1000","2200","1200","0","1000","2200","1200","0",NA,NA,"0","0","1000","2200","1200","0","1000","2200","1200","0","1000","2000","1000","0","1000","1800","800","0","1000","1600","600","0","1000","1600","600","0","1000","1200","200","0","1000","1200","200","0","1000","1200","200","0","11000","19400"
"M16 [Stock Position (During the month)]","16.3.04","Stock Position of Fluconazole Tablets","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.04","Stock Position of Fluconazole Tablets","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.04","Stock Position of Fluconazole Tablets","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"200","200","0",NA,"200","200","0",NA,"200","200","0",NA,"200","200","0",NA,"200","200","0",NA,"1200","1200","0",NA,"1200","1200","0",NA,NA,"0","0",NA,"3400"
"M16 [Stock Position (During the month)]","16.3.04","Stock Position of Fluconazole Tablets","5. Total Stock","154","1000","2200","1200","0","1000","2200","1200","0","0","0","0","0","1000","2200","1200","0","1000","2000","1000","0","1000","1800","800","0","1000","1600","600","0","1000","1400","400","0","1000","1400","400","0","1000","0","-1000","0","1000","0","-1000","0","1000","1200","200","0","11000","16000"
"M16 [Stock Position (During the month)]","16.3.05","Stock Position of Blood Transfusion Sets","1. Balance From Previous Month","154","1000",NA,"-1000","0","1000",NA,"-1000","0",NA,NA,"0","0","1000",NA,"-1000","0","1000",NA,"-1000","0","1000",NA,"-1000","0","1000",NA,"-1000","0","1000",NA,"-1000","0","1000",NA,"-1000","0","1000",NA,"-1000","0","1000",NA,"-1000","0","1000",NA,"-1000","0","11000",NA
"M16 [Stock Position (During the month)]","16.3.05","Stock Position of Blood Transfusion Sets","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.05","Stock Position of Blood Transfusion Sets","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.05","Stock Position of Blood Transfusion Sets","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.05","Stock Position of Blood Transfusion Sets","5. Total Stock","154","1000","0","-1000","0","1000","0","-1000","0","0","0","0","0","1000","0","-1000","0","1000","0","-1000","0","1000","0","-1000","0","1000","0","-1000","0","1000","0","-1000","0","1000","0","-1000","0","1000","0","-1000","0","1000","0","-1000","0","1000","0","-1000","0","11000","0"
"M16 [Stock Position (During the month)]","16.3.06","Stock Position of Gluteraldehyde solution of 2% concentration","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,"84","84","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"84"
"M16 [Stock Position (During the month)]","16.3.06","Stock Position of Gluteraldehyde solution of 2% concentration","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.06","Stock Position of Gluteraldehyde solution of 2% concentration","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.06","Stock Position of Gluteraldehyde solution of 2% concentration","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.06","Stock Position of Gluteraldehyde solution of 2% concentration","5. Total Stock","154","0","0","0","0","0","0","0","0","0","84","84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84"
"M16 [Stock Position (During the month)]","16.3.07","Stock Position of IFA Tablets","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.07","Stock Position of IFA Tablets","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.07","Stock Position of IFA Tablets","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.07","Stock Position of IFA Tablets","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.07","Stock Position of IFA Tablets","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M16 [Stock Position (During the month)]","16.3.08","Stock Position of IFA Syrup (Paediatric)","1. Balance From Previous Month","154",NA,NA,"0","0",NA,"42","42","0",NA,NA,"0","0",NA,"126","126","0",NA,"126","126","0",NA,"126","126","0",NA,"126","126","0",NA,"126","126","0",NA,"126","126","0",NA,"126","126","0",NA,"126","126","0",NA,"126","126","0",NA,"1176"
"M16 [Stock Position (During the month)]","16.3.08","Stock Position of IFA Syrup (Paediatric)","2. Stocks Received","154",NA,"42","42","0",NA,"42","42","0",NA,"42","42","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"126"
"M16 [Stock Position (During the month)]","16.3.08","Stock Position of IFA Syrup (Paediatric)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.08","Stock Position of IFA Syrup (Paediatric)","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"126","126","0",NA,"126","126","0",NA,NA,"0","0",NA,"252"
"M16 [Stock Position (During the month)]","16.3.08","Stock Position of IFA Syrup (Paediatric)","5. Total Stock","154","0","42","42","0","0","84","84","0","0","42","42","0","0","126","126","0","0","126","126","0","0","126","126","0","0","126","126","0","0","126","126","0","0","126","126","0","0","0","0","0","0","0","0","0","0","126","126","0","0","1050"
"M16 [Stock Position (During the month)]","16.3.09","Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin)","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.09","Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin)","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.09","Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.09","Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin)","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.09","Stock Position of Paediatrics Antibiotics (Cotrimaxozole and Injectable Gentamicin)","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M16 [Stock Position (During the month)]","16.3.10","Stock Position of Vitamin A solution","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.10","Stock Position of Vitamin A solution","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.10","Stock Position of Vitamin A solution","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.10","Stock Position of Vitamin A solution","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.10","Stock Position of Vitamin A solution","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M16 [Stock Position (During the month)]","16.3.11","Stock of ORS (New WHO formulation)","1. Balance From Previous Month","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.11","Stock of ORS (New WHO formulation)","2. Stocks Received","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.11","Stock of ORS (New WHO formulation)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.11","Stock of ORS (New WHO formulation)","4. Stock Distributed","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.3.11","Stock of ORS (New WHO formulation)","5. Total Stock","154","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M16 [Stock Position (During the month)]","16.4.1","Stock Position of 0.1 ml Syringes(AD)","1. Balance From Previous Month","154","15000","26600","11600","0","20800","26600","5800","0","16800","21400","4600","0","15700","5400","-10300","0","11800","8400","-3400","0","30200","6400","-23800","0","47600","5900","-41700","0","42400","5900","-36500","0","20400","11100","-9300","0","42200","8900","-33300","0","59000","8300","-50700","0","59000","7900","-51100","0","380900","142800"
"M16 [Stock Position (During the month)]","16.4.1","Stock Position of 0.1 ml Syringes(AD)","2. Stocks Received","154","8000","6000","-2000","0",NA,"6000","6000","0",NA,NA,"0","0",NA,"3000","3000","0","20000","6000","-14000","0","20000",NA,"-20000","0","18000",NA,"-18000","0",NA,"33000","33000","0","24000",NA,"-24000","0","24000",NA,"-24000","0",NA,NA,"0","0","8000",NA,"-8000","0","122000","54000"
"M16 [Stock Position (During the month)]","16.4.1","Stock Position of 0.1 ml Syringes(AD)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.4.1","Stock Position of 0.1 ml Syringes(AD)","4. Stock Distributed","154","2200","9200","7000","0","4000","9200","5200","0","1100","16000","14900","0","3900",NA,"-3900","0","1600","8000","6400","0","2600","500","-2100","0","23200",NA,"-23200","0","22000","27800","5800","0","2200","2200","0","0","7200","600","-6600","0",NA,"400","400","0",NA,NA,"0","0","70000","73900"
"M16 [Stock Position (During the month)]","16.4.1","Stock Position of 0.1 ml Syringes(AD)","5. Total Stock","154","20800","23400","2600","0","16800","23400","6600","0","15700","5400","-10300","0","11800","8400","-3400","0","30200","6400","-23800","0","47600","5900","-41700","0","42400","5900","-36500","0","20400","11100","-9300","0","42200","8900","-33300","0","59000","8300","-50700","0","59000","7900","-51100","0","67000","7900","-59100","0","432900","122900"
"M16 [Stock Position (During the month)]","16.4.2","Stock Position of 0.5 ml Syringes(AD)","1. Balance From Previous Month","154","276960","893200","616240","0","392960","893200","500240","0","384660","776400","391740","0","433860","598000","164140","0","542160","601000","58840","0","460160","597600","137440","0","540160","416400","-123760","0","538160","416400","-121760","0","452160","407400","-44760","0","732160","560400","-171760","0","704860","254400","-450460","0","704860","254400","-450460","0","6163120","6668800"
"M16 [Stock Position (During the month)]","16.4.2","Stock Position of 0.5 ml Syringes(AD)","2. Stocks Received","154","130000",NA,"-130000","0",NA,NA,"0","0","200000",NA,"-200000","0","120000","30000","-90000","0","80000",NA,"-80000","0","80000",NA,"-80000","0",NA,NA,"0","0",NA,"30000","30000","0","300000","195000","-105000","0",NA,NA,"0","0",NA,NA,"0","0","510000",NA,"-510000","0","1420000","255000"
"M16 [Stock Position (During the month)]","16.4.2","Stock Position of 0.5 ml Syringes(AD)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.4.2","Stock Position of 0.5 ml Syringes(AD)","4. Stock Distributed","154","14000","72300","58300","0","8300","72300","64000","0","150800","178400","27600","0","11700","27000","15300","0","162000","3400","-158600","0",NA,"181200","181200","0","2000",NA,"-2000","0","86000","4074000","3988000","0","20000","42000","22000","0","27300","306000","278700","0",NA,NA,"0","0","200700","9000","-191700","0","682800","4965600"
"M16 [Stock Position (During the month)]","16.4.2","Stock Position of 0.5 ml Syringes(AD)","5. Total Stock","154","392960","820900","427940","0","384660","820900","436240","0","433860","598000","164140","0","542160","601000","58840","0","460160","597600","137440","0","540160","416400","-123760","0","538160","416400","-121760","0","452160","-3627600","-4079760","0","732160","560400","-171760","0","704860","254400","-450460","0","704860","254400","-450460","0","1014160","245400","-768760","0","6900320","1958200"
"M16 [Stock Position (During the month)]","16.4.3","Stock Position of 5.0 ml Syringes(Disposable)","1. Balance From Previous Month","154","23000","9000","-14000","0","7800","9000","1200","0","7800","12000","4200","0","12000","6800","-5200","0","2400","5800","3400","0","2400","6600","4200","0","2400","6600","4200","0","8000","6600","-1400","0","7800","18700","10900","0","7800","18500","10700","0","7400","16300","8900","0","7400","16300","8900","0","96200","132200"
"M16 [Stock Position (During the month)]","16.4.3","Stock Position of 5.0 ml Syringes(Disposable)","2. Stocks Received","154","6000","4800","-1200","0",NA,"4800","4800","0","5000",NA,"-5000","0","10800",NA,"-10800","0",NA,"4800","4800","0",NA,NA,"0","0","6000",NA,"-6000","0",NA,"17300","17300","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","2400","4800","2400","0","30200","36500"
"M16 [Stock Position (During the month)]","16.4.3","Stock Position of 5.0 ml Syringes(Disposable)","3. Unusable Stock","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M16 [Stock Position (During the month)]","16.4.3","Stock Position of 5.0 ml Syringes(Disposable)","4. Stock Distributed","154","21200","800","-20400","0",NA,"800","800","0","800","5200","4400","0","20400","1000","-19400","0",NA,"4000","4000","0",NA,NA,"0","0","400",NA,"-400","0","200","5200","5000","0",NA,"200","200","0","400","2200","1800","0",NA,NA,"0","0","100","4800","4700","0","43500","24200"
"M16 [Stock Position (During the month)]","16.4.3","Stock Position of 5.0 ml Syringes(Disposable)","5. Total Stock","154","7800","13000","5200","0","7800","13000","5200","0","12000","6800","-5200","0","2400","5800","3400","0","2400","6600","4200","0","2400","6600","4200","0","8000","6600","-1400","0","7800","18700","10900","0","7800","18500","10700","0","7400","16300","8900","0","7400","16300","8900","0","9700","16300","6600","0","82900","144500"
"M17 [Details of deaths reported during the month with probable causes:]","17.1","Number of cases of Infant deaths within 24 hrs of birth","TOTAL","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA
"M17 [Details of deaths reported during the month with probable causes:]","17.2.1","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Sepsis","1. Up to 1 Weeks of Birth","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"6","6","0",NA,"2","2","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","3",NA,"-3","0","3","8"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.1","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Sepsis","2. Between 1 week & 4 weeks of birth","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","1",NA,"-1","0","1",NA
"M17 [Details of deaths reported during the month with probable causes:]","17.2.1","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Sepsis","3. Total","154",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"6","6","0",NA,"2","2","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0","4",NA,"-4","0","4","8"
"M17 [Details of deaths reported during the month with probable causes:]","17.2.2","Number of cases of Infant deaths 24 hours to 4 weeks of birth with the probable cause being Asphyxia","1. Up to 1 Weeks of Birth","154",NA,"4","4","0",NA,"4","4","0",NA,"1","1","0",NA,NA,"0","0",NA,NA,"0","0",NA,NA,"0","0",NA,"3","3","0",NA,"3","3","0",NA,NA,"0","0",NA,NA,"0","0",NA,"8","8","0",NA,NA,"0","0",NA,"23"
